ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,BLDGNO3,STREET3,STSUFX3,CITY,STATUS1,STATUS2,STATUS3,BORO_CODE
10001,253,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,299,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,301,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,315,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,317,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,442,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,447,10TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,294,5TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,777,6TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,800,6TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A,421-A, ,1
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS,, , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,315,7TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,322 TO 324,7TH,AVE, , , , , , ,NEW YORK, , , ,1
10001,371,7TH,AVE, , , , , , ,NEW YORK, , , ,1
10001,288,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,328,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,330,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,362,8TH,AVE,261,W 28TH,ST, , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,364,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,368,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,481,8TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING B,HOTEL, ,1
10001,235,9TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,237,9TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,239,9TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,413,9TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,415 TO 417,9TH,AVE, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,1186,BROADWAY, , , , , , , ,NEW YORK,MULTIPLE DWELLING B,HOTEL, ,1
10001,1234,BROADWAY, ,38,W 31ST,ST, , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,120,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,124,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,126,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,219 TO 225,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO, ,1
10001,226,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,228,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,231,W 25TH,ST, , , , , , ,NEW YORK, , , ,1
10001,245,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,264,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,266,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,270,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,400,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,J-51, ,1
10001,406,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,412,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,446,W 25TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,100 TO 102,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,421-A, ,1
10001,127,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,135,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,200,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,421-A, ,1
10001,220,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,229,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,239,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,J-51, ,1
10001,247,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,249,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,251,W 26TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,100,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,12,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,145 TO 147,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,26,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,260,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,29,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,39,W 27TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B, , ,1
10001,105 TO 107,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,132,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,135,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,136,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,139,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,146 TO 148,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,213,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,221,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,4,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,500,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,501,W 28TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,14,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,307,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,309,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,311,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,313,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,317,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,319,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,321 TO 323,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,J-51, ,1
10001,333,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B, , ,1
10001,335,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,347,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,349,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,J-51, ,1
10001,351,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,ROOMING HOUSE, ,1
10001,501,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,508,W 29TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,1,W 30TH,ST,284,5TH,AVE, , , ,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO, ,1
10001,110,W 30TH,ST, , , , , , ,NEW YORK, , , ,1
10001,24,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,308,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,317,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,319,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,320,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,321,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,323,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,325,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,327,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,330,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,342,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,346,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,350,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,360,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,364,W 30TH,ST, , , , , , ,NEW YORK, , , ,1
10001,366,W 30TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,ROOMING HOUSE, ,1
10001,19,W 31ST,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,HOTEL, ,1
10001,4,W 31ST,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING B,HOTEL, ,1
10001,35 TO 39,W 33RD,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,421-A, ,1
10001,501,W 33RD,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,304 TO 328,W 34TH,ST,315,W 34TH,ST, , , ,NEW YORK,MULTIPLE DWELLING A, , ,1
10001,408,W 34TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO, ,1
10001,426 TO 432,W 34TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO, ,1
10001,433,W 34TH,ST, , , , , , ,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO, ,1
