ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,BLDGNO3,STREET3,STSUFX3,STATUS1,STATUS2,STATUS3,BLOCK,LOT,BORO_CODE
10001,244,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,722,2,1
10001,246,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,722,3,1
10001,299,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,699,31,1
10001,301,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,699,32,1
10001,315,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,700,30,1
10001,317,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,700,31,1
10001,440,10TH,AVE, , , , , , , , , ,732,73,1
10001,442,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,732,72,1
10001,447,10TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,706,35,1
10001,303 TO 309,10TH,AVE, , , , , , ,MULTIPLE DWELLING A,421-A, ,699,33,1
10001,312,11TH,AVE, , , , , , , , , ,701,62,1
10001,777,6TH,AVE, , , , , , ,MULTIPLE DWELLING A,421-A, ,802,36,1
10001,819,6TH,AVE,819,AVENUE OF THE AMERICAS, , , , ,MULTIPLE DWELLING A, , ,804,36,1
10001,800 TO 802,6TH,AVE, , , , , , ,MULTIPLE DWELLING A,ROOMING HOUSE,421-A,829,1,1
10001,835 TO 851,6TH,AVE, , , , , , ,MULTIPLE DWELLING A,421-A, ,805,7502,1
10001,883 TO 885,6TH,AVE, , , , , , ,MULTIPLE DWELLING A,421-A, ,807,1103,1
10001,315,7TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,803,7501,1
10001,322 TO 324,7TH,AVE, , , , , , , , , ,778,36,1
10001,288,8TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,774,86,1
10001,328,8TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,776,4,1
10001,330,8TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,776,4,1
10001,402,8TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,780,1,1
10001,404,8TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,780,2,1
10001,481,8TH,AVE, , , , , , ,MULTIPLE DWELLING B,HOTEL, ,758,37,1
10001,235,9TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,722,40,1
10001,237,9TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,722,41,1
10001,239,9TH,AVE, , , , , , ,MULTIPLE DWELLING A, , ,722,42,1
