bldgno1,bldgno1_low,bldgno1_high,street_name1,street_suffix1,bldgno2,bldgno2_low,bldgno2_high,street_name2,street_suffix2,bldgno3,bldgno3_low,bldgno3_high,street_name3,street_suffix3,boro_code,zip,bbl
1,1,"",74TH,ST,,,,,,,,,,,3,11209,
1,1,"",ADRIAN,AVE,,,,,,,,,,,2,10463,
1,1,"",ALBANY,AVE,,,,,,,,,,,3,11216,
1,1,"",ALDEN,PARK,,,,,,,,,,,2,10465,
1,1,"",ARDEN,ST,,,,,,,,,,,1,10040,
1,1,"",ASCAN,AVE,,,,,,,,,,,4,11375,
1,1,"",ASTOR,PL,,,,,,,,,,,1,10003,
1,1,"",AUDUBON,AVE,,,,,,,,,,,1,10032,
1,1,"",BANK,ST,,,,,,,,,,,1,10014,
1,1,"",BEACH 105TH,ST,,,,,,,,,,,4,11694,
1,1,"",BOGARDUS,PL,,,,,,,,,,,1,10040,
1,1,"",BROADWAY,TER,,,,,,,,,,,1,10040,
1,1,"",CABRINI,BLVD,,,,,,,,,,,1,10033,
1,1,"",CAMBRIDGE,PL,,,,,,,,,,,3,11238,
1,1,"",CHESTER,CT,,,,,,,,,,,3,11225,
1,1,"",CHRISTOPHER,ST,,,,,,,,,,,1,10014,
1,1,"",CONVENT,AVE,,,,,,,,,,,1,10027,
1,1,"",E 118TH,ST,,,,,,,,,,,1,10035,
1,1,"",E 124TH,ST,,,,,,,,,,,1,10035,
1,1,"",E 198TH,ST,,,,,,,,,,,2,10468,
1,1,"",E 19TH,ST,,,,,,,,,,,3,11226,
1,1,"",E 213TH,ST,3594,3594,"",JEROME,AVE,,,,,,2,10467,
1,1,"",E 213TH,ST,,,,,,,,,,,2,10467,
1,1,"",E 93RD,ST,,,,,,,,,,,1,10128,
1,1,"",E TREMONT,AVE,,,,,,,,,,,2,10453,
1,1,"",ELTON,ST,,,,,,,,,,,3,11208,
1,1,"",ESSEX,ST,,,,,,,,,,,1,10002,
1,1,"",HAVEN,PLZ,200 TO 212,200,212,AVENUE C,,,,,,,1,10009,
1,1,"",HAVEN,PLZ,,,,AVENUE C,,,,,,,1,10009,
1,1,"",JACOBUS,PL,,,,,,,,,,,2,10463,
1,1,"",JANE,ST,,,,,,,,,,,1,10014,
1,1,"",KING,ST,,,,,,,,,,,1,10012,
1,1,"",KOSCIUSKO,ST,,,,,,,,,,,3,11205,
1,1,"",KOSCIUSZKO,ST,,,,,,,,,,,3,11205,
1,1,"",METROPOLITAN,OVAL,,,,,,,,,,,2,10462,
1,1,"",MORNINGSIDE,DR,,,,,,,,,,,1,10025,
1,1,"",PARADE,PL,,,,,,,,,,,3,11226,
1,1,"",PIKE,ST,,,,,,,,,,,1,10002,
1,1,"",PLAZA,ST W,,,,,,,,,,,3,11217,
1,1,"",PROSPECT,PARK SW,,,,,,,,,,,3,11215,
1,1,"",PROSPECT,PARK W,,,,,,,,,,,3,11215,
1,1,"",RIDGEWOOD,PL,,,,,,,,,,,3,11237,
1,1,"",RIVER,PL,,,,,,,,,,,1,10036,
1,1,"",S OXFORD,ST,,,,,,,,,,,3,11217,
1,1,"",SAINT NICHOLAS,TER,,,,,,,,,,,1,10027,
1,1,"",SAINT PAULS,CT,,,,,,,,,,,3,11226,
1,1,"",SICKLES,ST,,,,,,,,,,,1,10040,
1,1,"",SPENCER,CT,,,,,,,,,,,3,11205,
1,1,"",SPENCER,PL,,,,,,,,,,,3,11216,
1,1,"",STATION,SQ,,,,,,,,,,,4,11375,
1,1,"",STUYVESANT,OVAL,,,,,,,,,,,1,10009,
1,1,"",TENNIS,CT,,,,,,,,,,,3,11226,
1,1,"",UNION,SQ S,,,,,,,,,,,1,10003,
1,1,"",UNIVERSITY,PL,,,,,,,,,,,1,10003,
1,1,"",W 127TH,ST,,,,,,,,,,,1,10027,
1,1,"",W 131ST,ST,,,,,,,,,,,1,10037,
1,1,"",W 137TH,ST,,,,,,,,,,,1,10037,
1,1,"",W 182ND,ST,2201 TO 2207,2201,2207,JEROME,AVE,,,,,,2,10453,
1,1,"",W 182ND,ST,,,,JEROME,AVE,,,,,,2,10453,
1,1,"",W 182ND,ST,,,,,,,,,,,2,10453,
1,1,"",W 30TH,ST,284,284,"",5TH,AVE,,,,,,1,10001,
1,1,"",W 30TH,ST,284,284,"",5TH,,,,,,AVE,1,10001,
1,1,"",W 85TH,ST,251,251,"",CENTRAL,PARK W,,,,,,1,10024,
1,1,"",W 85TH,ST,,,,,,,,,,,1,10024,
1,1,"",W 89TH,ST,291,291,"",CENTRAL,PARK W,,,,,,1,10024,
1,1,"",W 89TH,ST,291,291,"",CENTRAL,,,,,,PARK W,1,10024,
1,1,"",WASHINGTON SQUARE,VLG,,,,,,,,,,,1,10012,
1,1,"",WILLOW,PL,,,,,,,,,,,3,11201,
1 TO 13,1,13,TENNIS,CT,,,,,,,,,,,3,11226,
1 TO 15,1,15,BENNETT,AVE,,,,,,,,,,,1,10033,
1 TO 15,1,15,E GUN HILL,RD,3500,3500,"",JEROME,AVE,,,,,,2,10467,
1 TO 17,1,17,74TH,ST,,,,,,,,,,,3,11209,
1 TO 17,1,17,WEST,ST,,,,,,,,,,,1,10004,
1 TO 19,1,19,E 1ST,ST,,,,,,,,,,,1,10003,
1 TO 19,1,19,TUDOR CITY,PL,,,,,,,,,,,1,10017,
1 TO 2,1,2,SHERIDAN,SQ,,,,,,,,,,,1,10014,
1 TO 3,1,3,CHARLES,ST,,,,,,,,,,,1,10014,
1 TO 3,1,3,E 35TH,ST,,,,,,,,,,,1,10016,
1 TO 3,1,3,ELIZABETH,ST,,,,,,,,,,,1,10013,
1 TO 3,1,3,MINETTA,ST,,,,,,,,,,,1,10012,
1 TO 3,1,3,SLOSSON,TER,,,,,,,,,,,5,10301,
1 TO 5,1,5,OLD FULTON,ST,,,,,,,,,,,3,11201,
1 TO 5,1,5,POST,AVE,,,,,,,,,,,1,10034,
1 TO 7,1,7,ADRIAN,AVE,130,130,"",TERRACE VIEW,AVE,,,,,,2,10463,
1 TO 7,1,7,CLINTON,ST,,,,,,,,,,,1,10002,
1 TO 7,1,7,DELANCEY,ST,,,,,,,,,,,1,10002,
1 TO 7,1,7,SHERMAN,AVE,107,107,"",ELLWOOD,ST,,,,,,1,10040,
1 TO 9,1,9,SEAMAN,AVE,,,,,,,,,,,1,10034,
1-11,1-11,"",MARBLE HILL,AVE,,,,,,,,,,,2,10463,
1-58,1-58,"",BEACH 116TH,ST,,,,,,,,,,,4,11694,
1-75,1-75,"",BEACH 91ST,ST,,,,,,,,,,,4,11693,
10,10,"",5TH,AVE,,,,,,,,,,,1,10011,
10,10,"",ADRIAN,AVE,,,,,,,,,,,2,10463,
10,10,"",ARGYLE,RD,,,,,,,,,,,3,11218,
10,10,"",ATKINS,AVE,,,,,,,,,,,3,11208,
10,10,"",AVENUE P,,,,,,,,,,,,3,11204,
10,10,"",BENNETT,AVE,,,,,,,,,,,1,10033,
10,10,"",BLEECKER,ST,,,,,,,,,,,3,11221,
10,10,"",CHARLES,ST,,,,,,,,,,,1,10014,
10,10,"",CLERMONT,AVE,,,,,,,,,,,3,11205,
10,10,"",COOPER,ST,,,,,,,,,,,1,10034,
10,10,"",DELANCEY,ST,,,,,,,,,,,1,10002,
10,10,"",DOWNING,ST,,,,,,,,,,,1,10014,
10,10,"",E 116TH,ST,,,,,,,,,,,1,10029,
10,10,"",E 132ND,ST,,,,,,,,,,,1,10037,
10,10,"",E 138TH,ST,,,,,,,,,,,1,10037,
10,10,"",E 13TH,ST,,,,,,,,,,,1,10003,
10,10,"",E 198TH,ST,,,,,,,,,,,2,10468,
10,10,"",E 236TH,ST,,,,,,,,,,,2,10470,
10,10,"",E 29TH,ST,,,,,,,,,,,1,10016,
10,10,"",E 78TH,ST,,,,,,,,,,,1,10021,
10,10,"",E 78TH,ST,,,,,,,,,,,1,10075,
10,10,"",E END,AVE,,,,,,,,,,,1,10021,
10,10,"",FORREST,ST,9,9,"",NOLL,ST,,,,,,3,11206,
10,10,"",GAY,ST,,,,,,,,,,,1,10014,
10,10,"",GOODWIN,PL,,,,,,,,,,,3,11221,
10,10,"",HANCOCK,ST,,,,,,,,,,,3,11216,
10,10,"",HAVEMEYER,ST,,,,,,,,,,,3,11211,
10,10,"",HILLSIDE,AVE,1-17,1-17,"",NAGLE,AVE,,,,,,1,10040,
10,10,"",HILLSIDE,AVE,1-17,1-17,"",NAGLE,,,,,,AVE,1,10040,
10,10,"",HILLSIDE,AVE,1e-17,1e-17,"",NAGLE,AVE,,,,,,1,10040,
10,10,"",HOLDER,PL,0.72,0.72,"",BURNS,ST,,,,,,4,11375,
10,10,"",HOLDER,PL,72-02,72-02,"",BURNS,ST,,,,,,4,11375,
10,10,"",HOLDER,PL,72-02,72-02,"",BURNS,,,,,,ST,4,11375,
10,10,"",JONES,ST,,,,,,,,,,,1,10014,
10,10,"",KIMBERLY,LN,,,,,,,,,,,5,10304,
10,10,"",MANHATTAN,AVE,,,,,,,,,,,1,10025,
10,10,"",MAUJER,ST,,,,,,,,,,,3,11206,
10,10,"",MENAHAN,ST,,,,,,,,,,,3,11221,
10,10,"",MIDWOOD,ST,,,,,,,,,,,3,11225,
10,10,"",MONTAGUE,TER,,,,,,,,,,,3,11201,
10,10,"",MONTAUK,AVE,,,,,,,,,,,3,11208,
10,10,"",MONTGOMERY,PL,,,,,,,,,,,3,11215,
10,10,"",OVERLOOK,TER,,,,,,,,,,,1,10033,
10,10,"",PATCHIN,PL,,,,,,,,,,,1,10011,
10,10,"",PELL,ST,,,,,,,,,,,1,10013,
10,10,"",PIERREPONT,ST,,,,,,,,,,,3,11201,
10,10,"",PLAZA,ST E,,,,,,,,,,,3,11238,
10,10,"",PROSPECT,PARK SW,,,,,,,,,,,3,11215,
10,10,"",RUTGERS,ST,,,,,,,,,,,1,10002,
10,10,"",SACKMAN,ST,,,,,,,,,,,3,11233,
10,10,"",SAINT MARKS,PL,,,,,,,,,,,1,10003,
10,10,"",SHERIDAN,SQ,,,,,,,,,,,1,10014,
10,10,"",STRATFORD,RD,10,10,"",E 11TH,ST,,,,,,3,11218,
10,10,"",STRATFORD,RD,10,10,"",E 11TH,,,,,,ST,3,11218,
10,10,"",STUYVESANT,OVAL,,,,,,,,,,,1,10009,
10,10,"",VERMILYEA,AVE,,,,,,,,,,,1,10034,
10,10,"",W 103RD,ST,,,,,,,,,,,1,10025,
10,10,"",W 107TH,ST,,,,,,,,,,,1,10025,
10,10,"",W 119TH,ST,,,,,,,,,,,1,10026,
10,10,"",W 135TH,ST,,,,,,,,,,,1,10037,
10,10,"",W 182ND,ST,,,,,,,,,,,2,10453,
10,10,"",W 74TH,ST,,,,,,,,,,,1,10023,
10,10,"",W 75TH,ST,,,,,,,,,,,1,10023,
10,10,"",W 76TH,ST,,,,,,,,,,,1,10023,
10,10,"",W 87TH,ST,,,,,,,,,,,1,10024,
10,10,"",W 90TH,ST,,,,,,,,,,,1,10024,
10,10,"",W 95TH,ST,,,,,,,,,,,1,10025,
10 TO 12,10,12,BARCLAY,ST,,,,,,,,,,,1,10007,
10 TO 12,10,12,CHRISTOPHER,ST,,,,,,,,,,,1,10014,
10 TO 12,10,12,E 16TH,ST,,,,,,,,,,,1,10003,
10 TO 12,10,12,ELDERT,ST,,,,,,,,,,,3,11207,
10 TO 12,10,12,ELIZABETH,ST,,,,,,,,,,,1,10013,
10 TO 12,10,12,FORT WASHINGTON,AVE,,,,,,,,,,,1,10032,
10 TO 12,10,12,MONTGOMERY,ST,,,,,,,,,,,1,10002,
10 TO 12,10,12,MORTON,ST,,,,,,,,,,,1,10014,
10 TO 16,10,16,OCEAN,PKWY,,,,,,,,,,,3,11218,
10 TO 16,10,16,PATCHEN,AVE,,,,,,,,,,,3,11221,
10 TO 16,10,16,W 16TH,ST,,,,,,,,,,,1,10011,
10 TO 18,10,18,JACOBUS,PL,2 TO 6,2,6,FORT CHARLES,PL,,,,,,2,10463,
10 TO 18,10,18,JACOBUS,PL,,,,FORT CHARLES,PL,,,,,,2,10463,
10 TO 22,10,22,FAIRVIEW,AVE,,,,,,,,,,,1,10040,
10 TO 22,10,22,SHORE,BLVD,,,,,,,,,,,3,11235,
10 TO 24,10,24,PARK,TER E,,,,,,,,,,,1,10034,
10 TO 32,10,32,W 65TH,ST,,,,,,,,,,,1,10023,
10 TO 68,10,68,PARK HILL,AVE,,,,,,,,,,,5,10304,
10-01,10-01,"",162ND,ST,,,,,,,,,,,4,11357,
10-01 TO 10-25,10-01,10-25,HARTMAN,LN,29-06 TO 29-08,29-06,29-08,DWIGHT,AVE,,,,,,4,11691,
10-01 TO 10-25,10-01,10-25,HARTMAN,LN,,,,DWIGHT,AVE,,,,,,4,11691,
10-01 TO 10-25,10-01,10-25,HARTMAN,LN,,,,,,,,,,,4,11691,
10-03,10-03,"",WYCKOFF,AVE,,,,,,,,,,,4,11385,
10-05,10-05,"",34TH,AVE,,,,,,,,,,,4,11106,
10-06 TO 10-20,10-06,10-20,NEILSON,ST,,,,,,,,,,,4,11691,
10-08 TO 10-24,10-08,10-24,BAY 30TH,ST,29-14 TO 29-16,29-14,29-16,DWIGHT,AVE,,,,,,4,11691,
10-09,10-09,"",34TH,AVE,,,,,,,,,,,4,11106,
10-10,10-10,"",166TH,ST,,,,,,,,,,,4,11357,
10-10,10-10,"",46TH,RD,,,,,,,,,,,4,11101,
10-11,10-11,"",162ND,ST,,,,,,,,,,,4,11357,
10-11,10-11,"",34TH,AVE,,,,,,,,,,,4,11106,
10-11,10-11,"",50TH,AVE,,,,,,,,,,,4,11101,
10-12,10-12,"",37TH,AVE,,,,,,,,,,,4,11101,
10-12,10-12,"",47TH,AVE,,,,,,,,,,,4,11101,
10-12,10-12,"",NAMEOKE,ST,,,,,,,,,,,4,11691,
